x,y,z,label
3.5000,-0.7000,-0.0150,0
3.8000,-0.7000,-0.0100,0
4.1000,-0.7000,-0.0050,0
4.4000,-0.7000,0.0000,0
4.7000,-0.7000,0.0050,0
5.0000,-0.7000,0.0100,0
5.3000,-0.7000,0.0150,0
5.6000,-0.7000,-0.0150,0
5.9000,-0.7000,-0.0100,0
6.2000,-0.7000,-0.0050,0
3.5000,-0.5000,0.0000,0
3.8000,-0.5000,0.0050,0
4.1000,-0.5000,0.0100,0
4.4000,-0.5000,0.0150,0
4.7000,-0.5000,-0.0150,0
5.0000,-0.5000,-0.0100,0
5.3000,-0.5000,-0.0050,0
5.6000,-0.5000,0.0000,0
5.9000,-0.5000,0.0050,0
6.2000,-0.5000,0.0100,0
3.5000,-0.3000,0.0150,0
3.8000,-0.3000,-0.0150,0
4.1000,-0.3000,-0.0100,0
4.4000,-0.3000,-0.0050,0
4.7000,-0.3000,0.0000,0
5.0000,-0.3000,0.0050,0
5.3000,-0.3000,0.0100,0
5.6000,-0.3000,0.0150,0
5.9000,-0.3000,-0.0150,0
6.2000,-0.3000,-0.0100,0
3.5000,-0.1000,-0.0050,0
3.8000,-0.1000,0.0000,0
4.1000,-0.1000,0.0050,0
4.4000,-0.1000,0.0100,0
4.7000,-0.1000,0.0150,0
5.0000,-0.1000,-0.0150,0
5.3000,-0.1000,-0.0100,0
5.6000,-0.1000,-0.0050,0
5.9000,-0.1000,0.0000,0
6.2000,-0.1000,0.0050,0
3.5000,0.1000,0.0100,0
3.8000,0.1000,0.0150,0
4.1000,0.1000,-0.0150,0
4.4000,0.1000,-0.0100,0
4.7000,0.1000,-0.0050,0
5.0000,0.1000,0.0000,0
5.3000,0.1000,0.0050,0
5.6000,0.1000,0.0100,0
5.9000,0.1000,0.0150,0
6.2000,0.1000,-0.0150,0
3.5000,0.3000,-0.0100,0
3.8000,0.3000,-0.0050,0
4.1000,0.3000,0.0000,0
4.4000,0.3000,0.0050,0
4.7000,0.3000,0.0100,0
5.0000,0.3000,0.0150,0
5.3000,0.3000,-0.0150,0
5.6000,0.3000,-0.0100,0
5.9000,0.3000,-0.0050,0
6.2000,0.3000,0.0000,0
3.5000,0.5000,0.0050,0
3.8000,0.5000,0.0100,0
4.1000,0.5000,0.0150,0
4.4000,0.5000,-0.0150,0
4.7000,0.5000,-0.0100,0
5.0000,0.5000,-0.0050,0
5.3000,0.5000,0.0000,0
5.6000,0.5000,0.0050,0
5.9000,0.5000,0.0100,0
6.2000,0.5000,0.0150,0
3.5000,0.7000,-0.0150,0
3.8000,0.7000,-0.0100,0
4.1000,0.7000,-0.0050,0
4.4000,0.7000,0.0000,0
4.7000,0.7000,0.0050,0
5.0000,0.7000,0.0100,0
5.3000,0.7000,0.0150,0
5.6000,0.7000,-0.0150,0
5.9000,0.7000,-0.0100,0
6.2000,0.7000,-0.0050,0
8.0000,0.0000,0.0500,4
8.0000,0.0000,0.0700,4
8.0000,0.0000,0.0900,4
8.0000,0.0000,0.1100,4
8.0000,0.0000,0.1300,4
8.0000,0.0000,0.1500,4
8.0000,0.0000,0.1700,4
8.0000,0.0000,0.1900,4
8.0000,0.0000,0.2100,4
8.0000,0.0000,0.2300,4
8.0000,0.0000,0.2500,4
8.0000,0.0000,0.2700,4
8.0000,0.0000,0.2900,4
8.0000,0.0000,0.3100,4
8.0000,0.0000,0.3300,4
